product_id,product_title,rating,total_reviews,price,top_reviews
itm35f749ba5d1ea,"Apple iPhone 16 Pro (White Titanium, 256 GB)",4.7,276,"₹1,19,999","5 Simply awesome best 🫶 READ MORE anupam sarkar Certified Buyer , New Town 1 month ago 35 6 Permalink Report Abuse || 5 Classy product Awesome and superb! Upgraded from iPhone 12 to 16pro after 4 years. Display is awesome and bigger , the bezel is much slimmer , dedicated camera control feature  with swipe feature  and changes of exposure is superb and quick. Lighter weight even. Overall an excellent one . Definitely can  go for it 🫶👍🤍 READ MORE Dhruba jyoti Barman Certified Buyer , Numaligarh Refinery Township Sep, 2024 2489 1067 Permalink Report Abuse"
itm275e00dd11259,"Apple iPhone 17 Pro Max (Deep Blue, 512 GB)",4.2,0,"₹1,69,900",No reviews found
